Season,Team,Opponent,Gameid,Player,3PM,3PA,2PM,2PA,FGM,FGA,FTM,FTA,OReb,DReb,Reb,Turnover,Points,eFG
2023-24,Carleton,Guelph,W20231104GUECAR,Dorcas Buisa,1,2,1,4,2,6,2,4,1,4,5,5,7,0.416666667
2023-24,Carleton,Guelph,W20231104GUECAR,Tatyanna Burke,0,0,2,5,2,5,0,0,4,4,8,1,4,0.4
2023-24,Carleton,Guelph,W20231104GUECAR,Teresa Donato,2,6,0,6,2,12,0,0,2,2,4,4,6,0.25
2023-24,Carleton,Guelph,W20231104GUECAR,Zerina Duvnjak,0,0,5,10,5,10,1,2,7,2,9,2,11,0.5
2023-24,Carleton,Guelph,W20231104GUECAR,Hadeza Ismaila,0,0,1,1,1,1,0,0,1,3,4,0,2,1
2023-24,Carleton,Guelph,W20231104GUECAR,Oceane Kounkou,1,2,0,0,1,2,0,0,0,0,0,0,3,0.75
2023-24,Carleton,Guelph,W20231104GUECAR,Kali Pocrnic,4,6,4,10,8,16,2,2,2,0,2,2,22,0.625
2023-24,Carleton,Guelph,W20231104GUECAR,Kyana-Jade Poulin,2,3,3,7,5,10,1,1,0,2,2,0,13,0.6
2023-24,Carleton,Guelph,W20231104GUECAR,Jacqueline Urban,0,3,5,14,5,17,5,5,2,6,8,2,15,0.294117647
2023-24,Carleton,Western,W20231110WESCAR,Dorcas Buisa,0,0,1,5,1,5,1,4,0,2,2,1,3,0.2
2023-24,Carleton,Western,W20231110WESCAR,Tatyanna Burke,0,0,5,10,5,10,1,4,6,7,13,1,11,0.5
2023-24,Carleton,Western,W20231110WESCAR,Teresa Donato,0,4,8,12,8,16,4,4,0,5,5,4,20,0.5
2023-24,Carleton,Western,W20231110WESCAR,Zerina Duvnjak,0,2,4,4,4,6,0,1,1,6,7,0,8,0.666666667
2023-24,Carleton,Western,W20231110WESCAR,Gabrielle Francis,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
2023-24,Carleton,Western,W20231110WESCAR,Hadeza Ismaila,0,0,2,4,2,4,2,2,3,3,6,1,6,0.5
2023-24,Carleton,Western,W20231110WESCAR,Oceane Kounkou,1,3,0,0,1,3,0,0,0,1,1,0,3,0.5
2023-24,Carleton,Western,W20231110WESCAR,Kali Pocrnic,1,2,2,5,3,7,3,6,0,1,1,0,10,0.5
2023-24,Carleton,Western,W20231110WESCAR,Kyana-Jade Poulin,0,1,1,2,1,3,0,0,0,4,4,1,2,0.333333333
2023-24,Carleton,Western,W20231110WESCAR,Kinly Rice,0,0,0,1,0,1,1,2,0,2,2,0,1,0
2023-24,Carleton,Western,W20231110WESCAR,Jacqueline Urban,0,0,4,9,4,9,0,0,2,5,7,1,8,0.444444444
2023-24,Carleton,Winsor,W20231111WINCAR,Dorcas Buisa,0,1,3,7,3,8,0,0,3,6,9,9,6,0.375
2023-24,Carleton,Winsor,W20231111WINCAR,Tatyanna Burke,0,0,5,9,5,9,1,2,5,4,9,1,11,0.555555556
2023-24,Carleton,Winsor,W20231111WINCAR,Teresa Donato,0,1,1,3,1,4,4,4,0,1,1,3,6,0.25
2023-24,Carleton,Winsor,W20231111WINCAR,Zerina Duvnjak,0,1,0,1,0,2,1,2,0,1,1,3,1,0
2023-24,Carleton,Winsor,W20231111WINCAR,Hadeza Ismaila,0,0,2,4,2,4,0,0,2,3,5,2,4,0.5
2023-24,Carleton,Winsor,W20231111WINCAR,Oceane Kounkou,0,1,0,0,0,1,0,0,0,1,1,0,0,0
2023-24,Carleton,Winsor,W20231111WINCAR,Kali Pocrnic,0,3,4,9,4,12,2,4,3,3,6,3,10,0.333333333
2023-24,Carleton,Winsor,W20231111WINCAR,Kyana-Jade Poulin,2,7,2,6,4,13,2,2,4,2,6,0,12,0.384615385
2023-24,Carleton,Winsor,W20231111WINCAR,Kinly Rice,0,0,0,0,0,0,0,0,1,1,2,0,0,N/A
2023-24,Carleton,Winsor,W20231111WINCAR,Jacqueline Urban,1,2,2,6,3,8,2,4,4,11,15,2,9,0.4375
2023-24,Carleton,Brock,W20231117CARBRK,Dorcas Buisa,0,1,2,2,2,3,0,0,0,4,4,3,4,0.666666667
2023-24,Carleton,Brock,W20231117CARBRK,Tatyanna Burke,0,0,3,5,3,5,0,2,5,2,7,0,6,0.6
2023-24,Carleton,Brock,W20231117CARBRK,Teresa Donato,0,5,0,3,0,8,2,2,0,1,1,2,2,0
2023-24,Carleton,Brock,W20231117CARBRK,Zerina Duvnjak,0,1,5,9,5,10,1,2,2,3,5,3,11,0.5
2023-24,Carleton,Brock,W20231117CARBRK,Hadeza Ismaila,0,0,3,3,3,3,0,1,2,2,4,2,6,1
2023-24,Carleton,Brock,W20231117CARBRK,Oceane Kounkou,1,2,0,0,1,2,0,0,0,0,0,0,3,0.75
2023-24,Carleton,Brock,W20231117CARBRK,Kali Pocrnic,0,8,6,9,6,17,13,17,0,2,2,1,25,0.352941176
2023-24,Carleton,Brock,W20231117CARBRK,Kyana-Jade Poulin,3,5,0,2,3,7,2,4,2,8,10,1,11,0.642857143
2023-24,Carleton,Brock,W20231117CARBRK,Kinly Rice,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
2023-24,Carleton,Brock,W20231117CARBRK,Jacqueline Urban,0,2,5,9,5,11,3,4,2,4,6,5,13,0.454545455
2023-24,Carleton,Lakehead,W20231118CARLAK,Dorcas Buisa,1,3,4,8,5,11,3,3,1,3,4,2,14,0.5
2023-24,Carleton,Lakehead,W20231118CARLAK,Tatyanna Burke,0,0,12,15,12,15,4,4,4,7,11,1,28,0.8
2023-24,Carleton,Lakehead,W20231118CARLAK,Teresa Donato,0,0,5,15,5,15,0,0,0,2,2,2,10,0.333333333
2023-24,Carleton,Lakehead,W20231118CARLAK,Zerina Duvnjak,0,1,2,3,2,4,0,0,0,9,9,1,4,0.5
2023-24,Carleton,Lakehead,W20231118CARLAK,Gabrielle Francis,0,0,0,0,0,0,0,0,0,2,2,0,0,N/A
2023-24,Carleton,Lakehead,W20231118CARLAK,Hadeza Ismaila,0,0,1,7,1,7,0,0,5,3,8,1,2,0.142857143
2023-24,Carleton,Lakehead,W20231118CARLAK,Oceane Kounkou,1,2,0,1,1,3,0,0,0,1,1,1,3,0.5
2023-24,Carleton,Lakehead,W20231118CARLAK,Kali Pocrnic,1,2,6,9,7,11,2,2,1,1,2,1,17,0.681818182
2023-24,Carleton,Lakehead,W20231118CARLAK,Kyana-Jade Poulin,0,0,2,4,2,4,1,2,0,1,1,1,5,0.5
2023-24,Carleton,Lakehead,W20231118CARLAK,Kinly Rice,0,0,1,1,1,1,0,0,0,2,2,1,2,1
