Year,Home,hFGM,hFGA,hFGpercent,h3PM,h3PA,h3Ppercent,hFTM,hFTA,hOREB,hDREB,hTO,hPoints,Away,aFGM,aFGA,aFGpercent,a3PM,a3PA,a3Ppercent,aFTM,aFTA,aOREB,aDREB,aTO,aPoints,HTWon,heFG,hTOV,hORB,hDRB,hFTF,aeFG,aTOV,aORB,aDRB,aFTF
2015-2016,McMaster,26,63,41.3,6,18,33.3,10,17,10,31,18,68,Brock,21,75,28,9,34,26.5,14,21,19,26,15,65,1,0.46031746,0.229357798,0.277777778,0.62,0.158730159,0.34,0.186939182,0.38,0.722222222,0.186666667
2015-2016,Ryerson,28,79,35.4,2,19,10.5,20,29,24,48,13,78,Toronto,14,73,19.2,1,25,4,7,27,22,32,21,36,1,0.367088608,0.160970778,0.428571429,0.685714286,0.253164557,0.198630137,0.250357654,0.314285714,0.571428571,0.095890411
2015-2016,Western,32,71,45.1,9,22,40.9,13,20,11,31,18,86,Waterloo,17,55,30.9,5,18,27.8,14,19,8,20,23,53,1,0.514084507,0.207373272,0.35483871,0.794871795,0.183098592,0.354545455,0.293517101,0.205128205,0.64516129,0.254545455
2015-2016,Windsor,31,72,43.1,7,17,41.2,16,21,21,31,11,85,Wilfrid Laurier,30,68,44.1,10,22,45.5,10,11,8,23,8,80,1,0.479166667,0.154407636,0.477272727,0.794871795,0.222222222,0.514705882,0.109829764,0.205128205,0.522727273,0.147058824
2015-2016,Algoma,16,58,27.6,6,21,28.6,7,10,5,28,28,45,Brock,26,83,31.3,8,31,25.8,15,24,14,27,17,75,0,0.327586207,0.327868852,0.15625,0.666666667,0.120689655,0.361445783,0.176056338,0.333333333,0.84375,0.180722892
2015-2016,Carleton,23,60,38.3,10,28,35.7,20,29,15,28,19,76,Laurentian,22,62,35.5,7,23,30.4,16,21,13,23,16,67,1,0.466666667,0.247524752,0.394736842,0.682926829,0.333333333,0.411290323,0.215517241,0.317073171,0.605263158,0.258064516
2015-2016,Lakehead,19,59,32.2,5,14,35.7,10,19,12,14,13,53,Guelph,26,59,44.1,4,12,33.3,9,15,14,19,18,65,0,0.36440678,0.19016969,0.387096774,0.5,0.169491525,0.474576271,0.25862069,0.5,0.612903226,0.152542373
2015-2016,Ottawa,21,55,38.2,8,25,32,15,24,11,19,21,65,Nipissing,11,48,22.9,4,12,33.3,20,28,16,23,27,46,1,0.454545455,0.277924828,0.323529412,0.542857143,0.272727273,0.270833333,0.378575435,0.457142857,0.676470588,0.416666667
2015-2016,Algoma,12,47,25.5,5,18,27.8,3,8,3,26,26,32,McMaster,32,79,40.5,8,23,34.8,10,15,10,25,13,82,0,0.308510638,0.353645267,0.107142857,0.722222222,0.063829787,0.455696203,0.146726862,0.277777778,0.892857143,0.126582278
2015-2016,Carleton,28,56,50,8,21,38.1,14,17,12,25,17,78,Nipissing,15,51,29.4,2,10,20,11,13,10,16,18,43,1,0.571428571,0.248247664,0.428571429,0.714285714,0.25,0.31372549,0.278121137,0.285714286,0.571428571,0.215686275
2015-2016,Lakehead,21,55,38.2,8,21,38.1,7,16,13,19,21,57,Guelph,25,61,41,6,14,42.9,22,24,13,22,11,78,0,0.454545455,0.299828669,0.371428571,0.59375,0.127272727,0.459016393,0.15813686,0.40625,0.628571429,0.360655738
2015-2016,Ottawa,29,74,39.2,7,26,26.9,15,24,28,25,14,80,Laurentian,17,51,33.3,6,20,30,17,22,10,22,19,57,1,0.439189189,0.198412698,0.56,0.714285714,0.202702703,0.392156863,0.272675086,0.285714286,0.44,0.333333333
2015-2016,Queens,24,76,31.6,6,16,37.5,10,23,22,35,13,64,York,17,63,27,5,18,27.8,8,17,15,34,23,47,1,0.355263158,0.168568465,0.392857143,0.7,0.131578947,0.30952381,0.293068298,0.3,0.607142857,0.126984127
2015-2016,Waterloo,25,69,36.2,2,21,9.5,11,14,7,24,12,63,Windsor,31,73,42.5,11,28,39.3,15,21,17,33,13,88,0,0.376811594,0.149700599,0.175,0.585365854,0.15942029,0.5,0.166155419,0.414634146,0.825,0.205479452
2015-2016,Wilfrid Laurier,20,67,29.9,6,21,28.6,15,20,15,24,18,61,Western,29,68,42.6,5,17,29.4,17,19,8,28,13,80,0,0.343283582,0.228426396,0.348837209,0.75,0.223880597,0.463235294,0.159783677,0.25,0.651162791,0.25
2015-2016,McMaster,26,71,36.6,7,19,36.8,5,6,14,27,27,64,Ryerson,32,78,41,3,14,21.4,7,12,16,24,19,74,0,0.415492958,0.311634349,0.368421053,0.627906977,0.070422535,0.429487179,0.220213259,0.372093023,0.631578947,0.08974359
2015-2016,Toronto,24,84,28.6,2,21,9.5,13,19,27,27,15,63,Waterloo,25,64,39.1,4,14,28.6,7,18,16,35,19,61,1,0.297619048,0.18666003,0.435483871,0.627906977,0.154761905,0.421875,0.253603844,0.372093023,0.564516129,0.109375
2015-2016,Guelph,20,59,33.9,1,11,9.1,16,22,10,20,16,57,Carleton,18,52,34.6,3,13,23.1,13,19,8,27,23,52,1,0.347457627,0.214247456,0.27027027,0.714285714,0.271186441,0.375,0.305201699,0.285714286,0.72972973,0.25
2015-2016,Lakehead,17,53,32.1,7,20,35,9,18,19,17,29,50,Ottawa,23,52,44.2,8,15,53.3,11,16,10,14,18,65,0,0.386792453,0.40891145,0.575757576,0.62962963,0.169811321,0.519230769,0.26849642,0.37037037,0.424242424,0.211538462
2015-2016,Laurentian,20,64,31.2,5,25,20,6,10,9,18,22,51,Queen's,23,69,33.3,4,21,19,11,16,19,26,22,61,0,0.3515625,0.27027027,0.257142857,0.486486486,0.09375,0.362318841,0.278340081,0.513513514,0.742857143,0.15942029
2015-2016,Nipissing,16,54,29.6,5,16,31.2,16,24,12,24,32,53,York,17,62,27.4,1,26,3.8,11,18,19,20,22,46,1,0.342592593,0.378429518,0.375,0.558139535,0.296296296,0.282258065,0.301700494,0.441860465,0.625,0.177419355
2015-2016,Windsor,21,71,29.6,2,18,11.1,16,24,20,26,9,60,Western,27,68,39.7,3,11,27.3,7,12,18,34,11,64,0,0.309859155,0.12755102,0.37037037,0.590909091,0.225352113,0.419117647,0.165962583,0.409090909,0.62962963,0.102941176
2015-2016,Algoma,15,57,26.3,3,17,17.6,3,5,4,24,20,36,Wilfrid Laurier,27,72,37.5,6,23,26.1,11,17,13,32,21,71,0,0.289473684,0.265957447,0.111111111,0.648648649,0.052631579,0.416666667,0.24005487,0.351351351,0.888888889,0.152777778
2015-2016,Guelph,22,59,37.3,1,8,12.5,24,31,7,24,18,69,Ottawa,26,59,44.1,8,20,40,12,25,11,21,16,72,0,0.381355932,0.215208034,0.25,0.685714286,0.406779661,0.508474576,0.213333333,0.314285714,0.75,0.203389831
2015-2016,Lakehead,25,53,47.2,6,18,33.3,11,19,5,25,23,67,Carleton,24,63,38.1,3,18,16.7,10,12,8,20,18,61,1,0.528301887,0.289818548,0.2,0.757575758,0.20754717,0.404761905,0.229943792,0.242424242,0.8,0.158730159
2015-2016,Laurentian,14,55,25.5,6,22,27.3,27,38,10,29,16,61,York,16,61,26.2,6,23,26.1,21,28,13,28,24,59,1,0.309090909,0.205867216,0.263157895,0.69047619,0.490909091,0.31147541,0.284629981,0.30952381,0.736842105,0.344262295
2015-2016,McMaster,26,59,44.1,11,27,40.7,24,32,11,19,23,87,Toronto,32,64,50,5,12,41.7,10,15,13,18,22,79,1,0.533898305,0.270333803,0.379310345,0.59375,0.406779661,0.5390625,0.27638191,0.40625,0.620689655,0.15625
2015-2016,Nipissing,18,51,35.3,4,13,30.8,2,6,7,22,30,42,Queen's,26,62,41.9,2,8,25,17,31,11,22,16,71,0,0.392156863,0.391440501,0.24137931,0.666666667,0.039215686,0.435483871,0.198412698,0.333333333,0.75862069,0.274193548
2015-2016,Ryerson,34,79,43,0,15,0,12,21,18,43,10,80,Waterloo,20,69,29,4,17,23.5,4,10,10,32,17,48,1,0.430379747,0.124626122,0.36,0.811320755,0.151898734,0.31884058,0.211442786,0.188679245,0.64,0.057971014
2015-2016,Algoma,16,57,28.1,4,14,28.6,8,12,8,17,16,44,Wilfrid Laurier,24,63,38.1,5,20,25,14,20,13,28,14,67,0,0.315789474,0.227660785,0.222222222,0.566666667,0.140350877,0.420634921,0.192307692,0.433333333,0.777777778,0.222222222
2015-2016,Windsor,33,74,44.6,7,19,36.8,22,32,25,34,17,95,Ryerson,32,85,37.6,4,17,23.5,11,18,21,19,10,79,1,0.493243243,0.212287712,0.568181818,0.618181818,0.297297297,0.4,0.122070313,0.381818182,0.431818182,0.129411765
2015-2016,Carleton,23,74,31.1,9,21,42.9,12,15,24,32,15,67,Algoma,8,48,16.7,4,13,30.8,9,14,11,29,24,29,1,0.371621622,0.209497207,0.452830189,0.744186047,0.162162162,0.208333333,0.357355569,0.255813953,0.547169811,0.1875
2015-2016,Guelph,29,69,42,6,20,30,18,26,17,24,25,82,Laurentian,20,55,36.4,8,23,34.8,15,19,5,19,27,63,1,0.463768116,0.282677521,0.472222222,0.827586207,0.260869565,0.436363636,0.316307404,0.172413793,0.527777778,0.272727273
2015-2016,Lakehead,33,67,49.3,12,24,50,8,14,14,25,19,86,Nipissing,22,57,38.6,6,18,33.3,5,8,5,10,23,55,1,0.582089552,0.243091095,0.583333333,0.833333333,0.119402985,0.438596491,0.292919002,0.166666667,0.416666667,0.087719298
2015-2016,Queens,24,59,40.7,6,16,37.5,6,9,12,37,22,60,McMaster,22,73,30.1,4,10,40,5,7,15,25,12,53,1,0.457627119,0.301535088,0.324324324,0.711538462,0.101694915,0.328767123,0.164203612,0.288461538,0.675675676,0.068493151
2015-2016,Western,25,71,35.2,6,20,30,14,23,21,20,18,70,Ryerson,31,66,47,4,14,28.6,18,23,15,29,26,84,0,0.394366197,0.230414747,0.42,0.571428571,0.197183099,0.5,0.298438935,0.428571429,0.58,0.272727273
2015-2016,York,18,62,29,4,14,28.6,12,17,7,19,14,52,Brock,24,64,37.5,5,21,23.8,15,25,18,28,21,68,0,0.322580645,0.183054393,0.2,0.513513514,0.193548387,0.4140625,0.269230769,0.486486486,0.8,0.234375
2015-2016,Guelph,24,62,38.7,4,13,30.8,19,24,16,31,18,71,Nipissing,9,54,16.7,2,12,16.7,12,14,8,19,28,32,1,0.419354839,0.241416309,0.457142857,0.794871795,0.306451613,0.185185185,0.349301397,0.205128205,0.542857143,0.222222222
2015-2016,Lakehead,29,66,43.9,3,16,18.8,20,29,13,28,15,81,Laurentian,24,68,35.3,15,49,30.6,10,11,12,19,18,73,1,0.462121212,0.185735513,0.40625,0.7,0.303030303,0.463235294,0.228310502,0.3,0.59375,0.147058824
2015-2016,Ottawa,24,69,34.8,5,19,26.3,21,27,26,26,14,74,Algoma,8,51,15.7,1,20,5,6,10,16,22,31,23,1,0.384057971,0.203252033,0.541666667,0.619047619,0.304347826,0.166666667,0.440340909,0.380952381,0.458333333,0.117647059
