Team,Opponent,Result,Game Score,3PTM,3PTA,3Pt%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,REB,PF,A,TO,Blk,Stl,Pts
Carleton,Guelph,Win,83-66,10,22,45.5,31,79,39.2,11,14,78.6,19,23,42,10,14,18,1,15,83
Carleton,Western,Win,72-46,2,12,16.7,29,64,45.3,12,23,52.2,12,36,48,20,12,12,3,2,72
Carleton,Windsor,Win,57-52,3,16,18.8,22,61,36.1,12,18,66.7,22,33,55,18,3,26,4,3,59
Carleton,Brock,Win,81-79,4,24,16.7,28,66,42.4,21,32,65.6,13,26,39,14,13,19,0,9,81
Carleton,Lakehead,Win,85-41,3,8,37.5,36,71,50.7,10,11,90.9,11,31,42,16,8,11,5,9,85
Carleton,Laurentian,Win,76-44,3,18,16.7,29,72,40.3,15,24,62.5,20,24,44,20,7,15,1,14,76
Carleton,Nipissing,Win,81-57,3,13,23.1,35,73,47.9,8,18,44.4,19,22,41,17,23,13,4,11,81
Carleton,McMaster,Win,86-56,7,23,30.4,35,88,39.8,9,14,64.3,22,37,59,17,8,15,0,10,86
Carleton,York,Win,107-41,5,12,41.7,41,78,52.6,20,25,80,16,33,49,13,17,14,2,19,107
Carleton,Ottawa,Loss,56-74,3,8,37.5,19,58,32.8,15,23,65.2,12,25,37,21,7,21,1,10,56
Carleton,Ontario Tech,Win,105-44,8,17,47.1,45,81,55.6,7,10,70,21,35,56,11,14,15,4,14,105
Carleton,Queen's,Win,73-68,5,19,26.3,27,63,42.9,14,22,63.6,15,23,38,18,13,22,2,8,73
Carleton,Nipissing,Win,88-53,10,26,38.5,35,73,47.9,8,12,66.7,15,21,36,13,15,17,5,13,88
Carleton,Laurentian,Win,80-40,4,14,28.6,29,68,42.6,18,21,85.7,11,25,36,19,15,19,3,12,80
Carleton,Algoma,Win,71-38,3,16,18.8,25,66,37.9,18,23,78.3,16,35,51,12,10,18,5,13,71
Carleton,Laurier,Win,82-39,7,16,43.8,31,60,51.7,13,22,59.1,13,38,51,14,10,20,6,10,82
Carleton,Waterloo,Win,74-48,8,26,30.8,29,67,43.3,8,12,66.7,10,17,27,16,13,12,2,17,74
Carleton,Ottawa,Win,78-72,7,20,35,30,72,41.7,11,20,55,16,25,41,12,18,18,0,10,78
Carleton,Toronto,Win,93-39,8,22,36.4,35,82,42.7,15,21,71.4,26,32,58,12,11,14,3,8,93
Carleton,Toronto Metropolitan,Win,92-61,14,27,51.9,34,71,47.9,10,16,62.5,17,24,41,17,13,14,4,8,92
Carleton,Ontario Tech,Win,84-57,8,21,38.1,35,80,43.8,6,11,54.5,21,34,55,7,11,16,6,8,84
Carleton,Queen's,Win,70-63,8,27,29.6,27,62,43.5,8,13,61.5,11,23,34,25,16,14,2,7,70
Carleton,McMaster,Win,94-77,9,17,52.9,37,73,50.7,11,14,78.6,7,33,40,9,8,6,2,6,94
Carleton,Ottawa,Win,75-51,4,12,33.3,33,71,46.5,5,7,71.4,17,24,41,10,16,15,2,10,75
Carleton,Queen's,Win,63-55,7,23,30.4,23,67,34.3,10,18,55.6,14,22,36,19,7,20,5,9,63
Carleton,Queen's,Win,74-40,4,14,28.6,27,62,43.5,16,25,64,13,33,46,17,8,13,3,15,74
Waterloo,York,Win,73-57,4,10,40,25,49,51,19,28,67.9,8,34,42,19,7,23,2,5,73
Waterloo,Guelph,Win,58-51,10,26,38.5,19,77,24.7,10,16,62.5,25,32,57,17,12,22,7,7,58
Waterloo,Guelph,Loss,56-61,3,17,17.6,15,62,24.2,23,32,71.9,16,23,39,21,7,12,2,12,56
Waterloo,Nipissing,Win,69-47,6,17,35.3,24,71,33.8,15,23,65.2,21,33,54,13,13,19,5,8,69
Waterloo,Laurentian,Win,62-39,9,23,39.1,17,51,33.3,19,30,63.3,9,24,33,18,8,15,3,12,62
Waterloo,Algoma,Win,80-45,10,30,33.3,30,64,46.9,10,20,50,14,32,46,16,10,18,3,10,80
Waterloo,Algoma,Win,68-42,1,14,7.1,21,53,39.6,25,33,75.8,14,29,43,16,10,17,5,5,68
Waterloo,Brock,Loss,68-76,9,32,28.1,23,71,32.4,13,20,65,16,20,36,19,12,17,0,10,68
Waterloo,Toronto Metropolitan,Loss,46-56,6,17,35.3,14,63,22.2,12,20,60,15,21,36,21,6,22,3,9,46
Waterloo,Windsor,Win,62-41,7,23,30.4,22,60,36.7,11,16,68.8,12,27,39,8,8,21,5,10,62
Waterloo,Western,Loss,64-70,4,20,20,21,77,27.3,18,28,64.3,24,24,48,23,7,7,1,2,64
Waterloo,Laurier,Win,69-57,8,20,40,25,54,46.3,11,20,55,9,29,38,14,13,25,5,13,69
Waterloo,Laurier,Win,70-65,4,18,22.2,25,62,40.3,16,27,59.3,15,24,39,24,6,21,7,7,70
Waterloo,Lakehead,Win,75-41,5,17,29.4,33,71,46.5,4,5,80,15,32,47,10,16,14,6,9,75
Waterloo,Ottawa,Win,60-52,5,11,45.5,19,46,41.3,17,22,77.3,9,31,40,15,8,32,6,9,60
Waterloo,Carleton,Loss,48-74,5,21,23.8,18,53,34,7,10,70,10,26,36,18,6,30,2,5,48
Waterloo,Ontario Tech,Win,82-50,5,23,21.7,30,77,39,17,24,70.8,24,33,57,20,18,17,7,9,82
Waterloo,Queen's,Loss,42-67,2,15,13.3,12,57,21.1,16,25,64,15,26,41,27,3,20,6,8,42
Waterloo,McMaster,Loss,71-97,7,17,41.2,23,76,30.3,18,21,85.7,23,24,47,15,12,19,2,6,71
Waterloo,Windsor,Win,51-42,4,17,23.5,17,55,30.9,13,16,81.2,17,28,45,11,9,25,4,10,51
Waterloo,Western,Win,52-45,2,10,20,19,61,31.1,12,12,100,9,32,41,19,10,20,3,9,52
Waterloo,Toronto,Win,66-45,5,12,41.7,22,59,37.3,17,29,58.6,17,33,50,22,15,19,7,9,66
Waterloo,Ottawa,Loss,65-74,8,18,44.4,20,60,33.3,17,19,89.5,13,23,36,25,12,14,3,9,65
Algoma,Western,Loss,31-82,6,26,23.1,11,51,21.6,3,9,33.3,5,25,30,21,9,11,1,2,31
Algoma,Western,Loss,44-60,6,21,28.6,17,58,29.3,4,5,80,4,23,27,11,12,7,1,10,44
Algoma,Laurier,Loss,36-66,9,30,30,13,56,23.2,1,2,50,9,19,28,17,9,18,0,12,36
Algoma,Laurier,Loss,33-75,5,20,25,12,52,23.1,4,8,50,5,17,22,16,4,15,1,7,33
Algoma,Guelph,Loss,41-59,5,20,25,14,48,29.2,8,13,61.5,5,25,30,21,5,31,4,6,41
Algoma,Guelph,Loss,39-72,5,23,21.7,15,46,32.6,4,9,44.4,2,21,23,14,7,26,1,1,39
Algoma,Waterloo,Loss,45-80,8,30,26.7,15,62,24.2,7,10,70,9,17,26,16,10,21,3,8,45
Algoma,Waterloo,Loss,42-68,6,37,16.2,13,62,21,10,15,66.7,13,13,26,24,9,15,0,12,42
Algoma,Ontario Tech,Win,64-56,3,24,12.5,26,71,36.6,9,20,45,17,34,51,17,11,14,4,5,64
Algoma,Queen's,Loss,36-69,2,14,14.3,16,51,31.4,2,4,50,5,30,35,8,6,33,3,9,36
Algoma,Brock,Loss,37-77,5,27,18.5,15,62,24.2,2,4,50,7,28,35,14,10,16,1,3,37
Algoma,Lakehead,Win,49-45,3,17,17.6,20,62,32.3,6,12,50,11,30,41,15,5,19,2,8,49
Algoma,Ottawa,Loss,31-87,3,20,15,12,55,21.8,4,7,57.1,7,20,27,8,5,27,1,4,31
Algoma,Carleton,Loss,38-71,7,25,28,14,60,23.3,3,5,60,7,17,24,17,10,22,2,8,38
Algoma,Toronto Metropolitan,Loss,40-81,4,25,16,15,52,28.8,6,10,60,4,15,19,14,6,22,3,4,40
Algoma,Toronto,Win,74-41,13,29,44.8,26,69,37.7,9,15,60,9,31,40,14,18,18,1,19,74
Algoma,York,Loss,57-96,6,23,26.1,19,53,35.8,13,16,81.2,6,23,29,22,10,27,1,7,57
Algoma,McMaster,Loss,49-84,8,30,26.7,17,73,23.3,7,9,77.8,6,25,31,18,12,11,0,7,49
Algoma,Nipissing,Loss,70-77,10,25,40,27,67,40.3,6,8,75,7,17,24,17,19,14,1,6,70
Algoma,Laurentian,Loss,46-70,7,24,29.2,15,59,25.4,9,11,81.8,9,25,34,18,7,22,2,5,4
Algoma,Windsor,Loss,54-78,6,21,28.6,20,59,33.9,8,10,80,5,15,20,17,14,16,2,8,54
Algoma,Windsor,Loss,29-72,5,28,17.9,9,49,18.4,6,9,66.7,8,23,31,13,7,20,0,4,29
Brock,Toronto,Win,79-69,3,17,17.6,30,72,41.7,16,23,69.6,14,29,43,13,22,14,2,10,79
