Season,Team,Opponent,Player,3PM,3PA,2PM,2PA,FGM,FGA,FTM,FTA,OReb,DReb,Reb,Turnover,Points,eFG,TOV,FTF
2023-24,Waterloo,York,Aimee Boulay,0,0,3,4,3,4,2,2,0,3,3,2,8,0.75,0.290697674,0.5
2023-24,Waterloo,York,Carina Fiore,0,1,1,2,1,3,0,0,1,2,3,1,2,0.333333333,0.25,0
2023-24,Waterloo,York,Mya Jickling,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
2023-24,Waterloo,York,Jemima Lacroix,0,0,2,3,2,3,1,4,1,3,4,1,5,0.666666667,0.173611111,1.333333333
2023-24,Waterloo,York,Sonja Matthews,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
2023-24,Waterloo,York,Jaime Newell,0,0,4,7,4,7,0,1,0,6,6,3,8,0.571428571,0.287356322,0.142857143
2023-24,Waterloo,York,Nehita Oko-Oboh,0,0,2,5,2,5,0,0,4,7,11,3,4,0.4,0.375,0
2023-24,Waterloo,York,Yemi Oladipo,1,3,1,2,2,5,5,6,0,2,2,6,10,0.5,0.439882698,1.2
2023-24,Waterloo,York,Summer Pahl,0,0,1,2,1,2,2,4,0,3,3,1,4,0.5,0.210084034,2
2023-24,Waterloo,York,Ghiselle Poblete,2,2,5,10,7,12,6,7,0,3,3,3,22,0.666666667,0.165929204,0.583333333
2023-24,Waterloo,York,Tamara Popovic,1,2,0,1,1,3,0,0,0,2,2,0,3,0.5,0,0
2023-24,Waterloo,York,Charissa Virr,0,1,2,3,2,4,3,4,1,3,4,3,7,0.5,0.342465753,1
2023-24,Waterloo,Guelph1,Aimee Boulay,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.5,0
2023-24,Waterloo,Guelph1,Carina Fiore,0,1,1,5,1,6,0,0,2,1,3,0,2,0.166666667,0,0
2023-24,Waterloo,Guelph1,Mya Jickling,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2023-24,Waterloo,Guelph1,Jemima Lacroix,0,0,0,3,0,3,0,0,2,2,4,1,0,0,0.25,0
2023-24,Waterloo,Guelph1,Jaime Newell,0,0,3,6,3,6,0,0,6,4,10,3,6,0.5,0.333333333,0
2023-24,Waterloo,Guelph1,Nehita Oko-Oboh,0,0,1,5,1,5,1,2,4,11,15,2,3,0.2,0.253807107,0.4
2023-24,Waterloo,Guelph1,Yemi Oladipo,4,8,1,5,5,13,1,4,1,2,3,3,15,0.538461538,0.168918919,0.307692308
2023-24,Waterloo,Guelph1,Summer Pahl,3,8,1,12,4,20,4,6,5,5,10,2,15,0.275,0.081168831,0.3
2023-24,Waterloo,Guelph1,Ghiselle Poblete,3,7,2,12,5,19,4,4,0,4,4,4,17,0.342105263,0.161550889,0.210526316
2023-24,Waterloo,Guelph1,Tamara Popovic,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.5,0
2023-24,Waterloo,Guelph1,Charissa Virr,0,1,0,1,0,2,0,0,5,3,8,3,0,0,0.6,0
2023-24,Waterloo,Guelph2,Carina Fiore,0,0,2,7,2,7,0,0,1,4,5,2,4,0.285714286,0.222222222,0
2023-24,Waterloo,Guelph2,Mya Jickling,0,0,1,1,1,1,0,2,0,1,1,0,2,1,0,2
2023-24,Waterloo,Guelph2,Jemima Lacroix,0,0,2,7,2,7,0,2,7,3,10,1,4,0.285714286,0.112612613,0.285714286
2023-24,Waterloo,Guelph2,Sonja Matthews,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0
2023-24,Waterloo,Guelph2,Nehita Oko-Oboh,0,0,2,5,2,5,2,2,5,5,10,2,6,0.4,0.253807107,0.4
2023-24,Waterloo,Guelph2,Yemi Oladipo,0,5,1,10,1,15,4,8,0,1,1,0,6,0.066666667,0,0.533333333
2023-24,Waterloo,Guelph2,Summer Pahl,1,5,3,6,4,11,4,4,2,5,7,0,13,0.409090909,0,0.363636364
2023-24,Waterloo,Guelph2,Ghiselle Poblete,2,7,1,6,3,13,12,12,0,1,1,4,20,0.307692308,0.179533214,0.923076923
2023-24,Waterloo,Guelph2,Tamara Popovic,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
2023-24,Waterloo,Guelph2,Charissa Virr,0,0,0,1,0,1,1,2,1,2,3,3,1,0,0.614754098,2
2023-24,Waterloo,Nipissing,Aimee Boulay,1,3,1,4,2,7,1,2,1,1,2,0,6,0.357142857,0,0.285714286
2023-24,Waterloo,Nipissing,Carina Fiore,0,0,3,7,3,7,0,0,4,1,5,1,6,0.428571429,0.125,0
2023-24,Waterloo,Nipissing,Mya Jickling,0,0,1,3,1,3,1,1,3,3,6,0,3,0.333333333,0,0.333333333
2023-24,Waterloo,Nipissing,Jemima Lacroix,0,0,1,2,1,2,2,4,3,4,7,0,4,0.5,0,2
2023-24,Waterloo,Nipissing,Sonja Matthews,0,0,0,2,0,2,2,4,0,2,2,2,2,0,0.347222222,2
2023-24,Waterloo,Nipissing,Jaime Newell,0,1,1,6,1,7,0,0,2,7,9,2,2,0.142857143,0.222222222,0
2023-24,Waterloo,Nipissing,Nehita Oko-Oboh,0,0,2,3,2,3,0,0,3,5,8,0,4,0.666666667,0,0
2023-24,Waterloo,Nipissing,Yemi Oladipo,1,3,2,7,3,10,5,7,1,4,5,5,12,0.35,0.276548673,0.7
2023-24,Waterloo,Nipissing,Summer Pahl,0,1,2,7,2,8,0,0,2,2,4,0,4,0.25,0,0
2023-24,Waterloo,Nipissing,Ghiselle Poblete,3,4,5,10,8,14,4,5,0,2,2,4,23,0.678571429,0.198019802,0.357142857
2023-24,Waterloo,Nipissing,Tamara Popovic,1,5,0,0,1,5,0,0,2,1,3,1,3,0.3,0.166666667,0
2023-24,Waterloo,Nipissing,Charissa Virr,0,0,0,3,0,3,0,0,0,1,1,4,0,0,0.571428571,0
2023-24,Waterloo,Laurentian,Aimee Boulay,0,1,0,2,0,3,2,2,0,1,1,1,2,0,0.204918033,0.666666667
2023-24,Waterloo,Laurentian,Carina Fiore,0,1,1,3,1,4,3,6,1,4,5,1,5,0.25,0.130890052,1.5
2023-24,Waterloo,Laurentian,Mya Jickling,1,1,0,2,1,3,0,0,1,1,2,2,3,0.5,0.4,0
2023-24,Waterloo,Laurentian,Jemima Lacroix,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
2023-24,Waterloo,Laurentian,Sonja Matthews,1,2,0,1,1,3,0,0,0,1,1,0,3,0.5,0,0
2023-24,Waterloo,Laurentian,Jaime Newell,0,0,3,4,3,4,2,4,2,4,6,1,8,0.75,0.147928994,1
2023-24,Waterloo,Laurentian,Nehita Oko-Oboh,0,0,0,0,0,0,4,4,0,3,3,0,4,N/A,0,N/A
2023-24,Waterloo,Laurentian,Yemi Oladipo,0,2,0,7,0,9,1,2,0,0,0,6,1,0,0.377833753,0.222222222
2023-24,Waterloo,Laurentian,Summer Pahl,0,3,2,2,2,5,5,6,3,3,6,0,9,0.4,0,1.2
2023-24,Waterloo,Laurentian,Ghiselle Poblete,3,6,2,5,5,11,2,4,0,4,4,3,15,0.590909091,0.19035533,0.363636364
2023-24,Waterloo,Laurentian,Tamara Popovic,3,6,0,1,3,7,0,0,1,2,3,0,9,0.642857143,0,0
2023-24,Waterloo,Laurentian,Charissa Virr,1,1,0,1,1,2,0,2,1,1,2,1,3,0.75,0.257731959,1
2023-24,Waterloo,Algoma1,Aimee Boulay,0,2,3,3,3,5,1,4,1,1,2,1,7,0.6,0.128865979,0.8
2023-24,Waterloo,Algoma1,Carina Fiore,2,4,2,4,4,8,2,4,1,4,5,0,12,0.625,0,0.5
